name,price,energy,protein,fat,carbohydrates,salt,calcium,vegetable,img_url
ホイコーロー,264.0,286.0,13.1,18.8,16.4,2.7,61.0,183.0,https://west2-univ.jp/menu_img/png_sp/814233.png
ハンバーグデミソース,264.0,240.0,15.5,11.9,16.3,1.6,49.0,56.0,https://west2-univ.jp/menu_img/png_sp/814146.png
ゆず塩ちゃんこ,264.0,235.0,10.7,11.6,22.8,3.8,110.0,189.0,https://west2-univ.jp/menu_img/png_sp/814268.png
ジューシー唐揚げ,352.0,402.0,25.8,25.4,16.2,1.8,32.0,33.0,https://west2-univ.jp/menu_img/png_sp/814280.png
かつおカツ青じそだれ,220.0,342.0,9.6,20.9,27.7,2.3,20.0,37.0,https://west2-univ.jp/menu_img/png_sp/824166.png
牛肉コロッケ,110.0,241.0,3.0,16.6,19.2,0.5,8.0,1.0,https://west2-univ.jp/menu_img/png_sp/814403.png
炭焼きチキン,176.0,123.0,17.4,3.6,3.9,1.2,4.0,0.0,https://west2-univ.jp/menu_img/png_sp/814293.png
鯖味噌煮,176.0,180.0,11.9,11.1,7.9,0.8,41.0,0.0,https://west2-univ.jp/menu_img/png_sp/814297.png
ポテト野菜サラダ,110.0,98.0,1.7,5.2,11.9,0.5,17.0,53.0,https://west2-univ.jp/menu_img/png_sp/814418.png
オクラ巣ごもり玉子,88.0,91.0,6.7,5.5,3.6,0.6,56.0,33.0,https://west2-univ.jp/menu_img/png_sp/814447.png
ほうれん草,66.0,19.0,1.9,0.6,2.5,0.0,44.0,63.0,https://west2-univ.jp/menu_img/png_sp/814434.png
ヘルシーサラダ,88.0,75.0,2.5,4.5,6.0,0.5,15.0,33.0,https://west2-univ.jp/menu_img/png_sp/814430.png
そぼろきんぴらごぼう,88.0,86.0,5.7,1.9,10.9,0.5,38.0,23.0,https://west2-univ.jp/menu_img/png_sp/814544.png
ほうれん草ごまナムル,88.0,49.0,2.1,3.0,4.2,0.5,52.0,52.0,https://west2-univ.jp/menu_img/png_sp/814493.png
ひじき煮,66.0,55.0,2.0,3.0,5.5,1.0,35.0,5.0,https://west2-univ.jp/menu_img/png_sp/814451.png
鶏きも煮,88.0,67.0,8.9,1.7,4.4,0.6,6.0,0.0,https://west2-univ.jp/menu_img/png_sp/814524.png
納豆,44.0,65.0,5.1,3.1,4.6,0.4,28.0,0.0,https://west2-univ.jp/menu_img/png_sp/814457.png
味噌汁,33.0,53.0,2.9,3.1,3.5,1.3,35.0,0.0,https://west2-univ.jp/menu_img/png_sp/814458.png
パイタンうどん,341.0,437.0,13.3,7.9,78.6,7.4,26.0,5.0,https://west2-univ.jp/menu_img/png_sp/819362.png
かき揚げうどん,297.0,456.0,8.3,9.3,84.5,4.7,31.0,30.0,https://west2-univ.jp/menu_img/png_sp/819312.png
かき揚げそば,297.0,425.0,11.6,10.1,71.9,3.6,34.0,30.0,https://west2-univ.jp/menu_img/png_sp/819313.png
蒸し鶏ごま味噌ラーメン,429.0,552.0,29.0,8.3,91.6,6.4,134.0,30.0,https://west2-univ.jp/menu_img/png_sp/819452.png
温玉ねぎとろ丼,462.0,613.0,24.6,11.8,96.6,2.1,46.0,10.0,https://west2-univ.jp/menu_img/png_sp/819079.png
唐揚げ麻婆丼,407.0,703.0,24.3,18.3,107.8,2.9,18.0,5.0,https://west2-univ.jp/menu_img/png_sp/819076.png
唐揚げカレー,407.0,810.0,24.5,24.1,123.0,5.2,47.0,12.0,https://west2-univ.jp/menu_img/png_sp/819256.png
カレーライス,308.0,596.0,11.0,11.5,110.4,4.3,38.0,12.0,https://west2-univ.jp/menu_img/png_sp/819272.png
ライス,115.0,408.0,7.2,0.0,88.8,0.0,0.0,0.0,https://west2-univ.jp/menu_img/png_sp/814702.png
チキンカツカレーマヨ定食【月曜】】【,450.0,781.0,24.7,34.8,86.4,2.5,64.0,33.0,https://west2-univ.jp/menu_img/png_sp/885029.png
チキン香草焼き定食（小鉢1品付）【火曜日】,500.0,543.0,25.9,14.0,75.0,2.9,51.0,33.0,https://west2-univ.jp/menu_img/png_sp/885207.png
豚生姜炒め定食（小鉢1品付）【木曜日】,500.0,725.0,28.5,24.2,92.5,3.7,68.0,133.0,https://west2-univ.jp/menu_img/png_sp/885216.png
トンカツポン酢おろし定食（小鉢1品付）【水曜日】,500.0,734.0,23.1,29.2,89.2,2.9,62.0,55.0,https://west2-univ.jp/menu_img/png_sp/885204.png
油淋鶏定食（小鉢1品付）【金曜日】,500.0,895.0,39.5,41.2,83.4,3.7,65.0,56.0,https://west2-univ.jp/menu_img/png_sp/885220.png
