name,price,energy,protein,fat,carbohydrates,salt,calcium,vegetable,img_url
照り焼きチキン,308.0,464.0,31.5,29.1,15.1,1.8,25.0,0.0,https://west2-univ.jp/menu_img/png_sp/824278.png
ローストンカツ味噌ソース,264.0,448.0,16.4,27.0,32.3,1.8,23.0,0.0,https://west2-univ.jp/menu_img/png_sp/824210.png
ササミチーズカツタルタルソース,220.0,384.0,13.3,26.6,21.2,1.2,75.0,0.0,https://west2-univ.jp/menu_img/png_sp/824012.png
ねぎ塩ハンバーグ,220.0,247.0,14.9,13.4,15.7,2.3,42.0,38.0,https://west2-univ.jp/menu_img/png_sp/824111.png
鶏ちゃん焼,264.0,203.0,18.0,6.5,19.8,2.5,52.0,140.0,https://west2-univ.jp/menu_img/png_sp/814107.png
たっぷり野菜チゲ,264.0,172.0,9.7,6.9,19.6,3.4,103.0,182.0,https://west2-univ.jp/menu_img/png_sp/814064.png
フライドチキン,176.0,231.0,6.2,14.2,18.1,0.9,6.0,0.0,https://west2-univ.jp/menu_img/png_sp/814174.png
鯖塩焼き,176.0,293.0,17.2,23.1,0.4,1.2,10.0,0.0,https://west2-univ.jp/menu_img/png_sp/814050.png
北海道いももち,88.0,188.0,1.8,7.1,28.9,0.6,6.0,0.0,https://west2-univ.jp/menu_img/png_sp/814851.png
オクラとベーコンのサラダ,176.0,80.0,5.2,4.2,7.0,0.6,56.0,92.0,https://west2-univ.jp/menu_img/png_sp/814321.png
オクラ巣ごもり玉子,88.0,91.0,6.7,5.5,3.6,0.6,56.0,33.0,https://west2-univ.jp/menu_img/png_sp/814447.png
わかさぎ南蛮,88.0,60.0,2.6,2.3,6.9,0.7,67.0,25.0,https://west2-univ.jp/menu_img/png_sp/814439.png
水菜からし和え,88.0,35.0,2.0,1.5,3.5,0.5,90.0,33.0,https://west2-univ.jp/menu_img/png_sp/814548.png
ポテトサラダ,66.0,100.0,1.3,6.3,10.0,0.6,6.0,3.0,https://west2-univ.jp/menu_img/png_sp/814551.png
ほうれん草おひたし,66.0,22.0,2.1,0.6,3.1,0.3,44.0,63.0,https://west2-univ.jp/menu_img/png_sp/814449.png
ミニサラダ,44.0,7.0,0.3,0.0,1.7,0.0,10.0,33.0,https://west2-univ.jp/menu_img/png_sp/814460.png
豚汁,110.0,102.0,6.0,3.8,11.2,1.7,33.0,54.0,https://west2-univ.jp/menu_img/png_sp/814400.png
味噌汁,33.0,53.0,2.9,3.1,3.5,1.3,35.0,0.0,https://west2-univ.jp/menu_img/png_sp/814458.png
台湾風まぜそば,429.0,578.0,27.3,12.3,88.6,5.0,87.0,5.0,https://west2-univ.jp/menu_img/png_sp/819480.png
きつねうどん,297.0,439.0,13.5,7.0,80.6,5.3,74.0,5.0,https://west2-univ.jp/menu_img/png_sp/819393.png
きつねそば,297.0,408.0,16.7,7.8,68.0,4.1,77.0,5.0,https://west2-univ.jp/menu_img/png_sp/819394.png
かけうどん,209.0,339.0,7.7,1.0,75.0,4.6,21.0,5.0,https://west2-univ.jp/menu_img/png_sp/819328.png
かけそば,209.0,308.0,10.9,1.8,62.4,3.4,24.0,5.0,https://west2-univ.jp/menu_img/png_sp/819329.png
欧風カレー,407.0,595.0,13.0,12.2,101.8,1.4,14.0,35.0,https://west2-univ.jp/menu_img/png_sp/663258_355802.png
欧風カツカレー,495.0,879.0,24.1,32.0,115.6,2.1,21.0,35.0,https://west2-univ.jp/menu_img/png_sp/663258_355803.png
豚塩カルビ丼,407.0,604.0,15.0,17.8,92.4,1.9,36.0,40.0,https://west2-univ.jp/menu_img/png_sp/819046.png
唐揚げ玉子あんかけ丼,407.0,735.0,25.6,20.0,107.4,3.1,34.0,0.0,https://west2-univ.jp/menu_img/png_sp/819100.png
ライス,115.0,408.0,7.2,0.0,88.8,0.0,0.0,0.0,https://west2-univ.jp/menu_img/png_sp/814702.png
焼きプリンタルト,66.0,119.0,2.0,6.6,12.4,0.1,28.0,0.0,https://west2-univ.jp/menu_img/png_sp/814813.png
大学芋,88.0,156.0,0.6,3.1,31.9,0.0,13.0,0.0,https://west2-univ.jp/menu_img/png_sp/814817.png
ケバブプレート,594.0,736.0,25.5,18.1,111.7,2.3,14.0,30.0,https://west2-univ.jp/menu_img/png_sp/663258_355828.png
