name,price,energy,protein,fat,carbohydrates,salt,calcium,vegetable,img_url
ローストンカツ味噌ソース,264.0,448.0,16.4,27.0,32.3,1.8,23.0,0.0,https://west2-univ.jp/menu_img/png_sp/824210.png
ササミチーズカツタルタルソース,220.0,384.0,13.3,26.6,21.2,1.2,75.0,0.0,https://west2-univ.jp/menu_img/png_sp/824012.png
ハンバーグおろしソース,220.0,234.0,15.2,10.9,17.1,2.8,40.0,39.0,https://west2-univ.jp/menu_img/png_sp/824025.png
鶏と茄子の山賊炒め,264.0,401.0,12.3,30.4,20.8,1.9,36.0,186.0,https://west2-univ.jp/menu_img/png_sp/814199.png
チゲ豆腐,264.0,284.0,20.7,15.1,15.1,4.2,121.0,102.0,https://west2-univ.jp/menu_img/png_sp/814267.png
骨まで食べられるカレイ煮つけ,176.0,91.0,11.9,0.6,8.4,1.0,390.0,0.0,https://west2-univ.jp/menu_img/png_sp/814182.png
肉じゃがコロッケ,110.0,252.0,3.4,17.8,19.0,0.9,10.0,9.0,https://west2-univ.jp/menu_img/png_sp/814407.png
小松菜と揚げ生姜風味,88.0,30.0,1.8,1.2,3.6,0.6,66.0,37.0,https://west2-univ.jp/menu_img/png_sp/814508.png
オクラ巣ごもり玉子,88.0,91.0,6.7,5.5,3.6,0.6,56.0,33.0,https://west2-univ.jp/menu_img/png_sp/814447.png
スタミナ茄子,88.0,145.0,1.2,12.3,8.3,0.7,8.0,63.0,https://west2-univ.jp/menu_img/png_sp/814536.png
ひじき煮,66.0,55.0,2.0,3.0,5.5,1.0,35.0,5.0,https://west2-univ.jp/menu_img/png_sp/814451.png
南瓜サラダ,66.0,95.0,1.0,6.5,9.0,0.0,5.0,33.0,https://west2-univ.jp/menu_img/png_sp/814420.png
ミニサラダ,44.0,7.0,0.3,0.0,1.7,0.0,10.0,33.0,https://west2-univ.jp/menu_img/png_sp/814460.png
味噌汁,33.0,53.0,2.9,3.1,3.5,1.3,35.0,0.0,https://west2-univ.jp/menu_img/png_sp/814458.png
チキンカツカレー,407.0,918.0,27.0,31.5,127.7,5.0,46.0,16.0,https://west2-univ.jp/menu_img/png_sp/819259.png
カレーライス,308.0,596.0,11.0,11.5,110.4,4.3,38.0,12.0,https://west2-univ.jp/menu_img/png_sp/819272.png
ライス,115.0,408.0,7.2,0.0,88.8,0.0,0.0,0.0,https://west2-univ.jp/menu_img/png_sp/814702.png
大学芋,88.0,156.0,0.6,3.1,31.9,0.0,13.0,0.0,https://west2-univ.jp/menu_img/png_sp/814817.png
