name,price,energy,protein,fat,carbohydrates,salt,calcium,vegetable
ジューシー唐揚げ,308.0,396.0,25.5,25.4,14.5,1.8,18.0,0.0
ローストンカツ味噌ソース,264.0,448.0,16.4,27.0,32.3,1.8,23.0,0.0
チキンカツ七味マヨ,220.0,460.0,16.7,34.5,18.2,1.2,14.0,0.0
ハンバーグおろしソース,220.0,234.0,15.2,10.9,17.1,2.8,40.0,39.0
鶏肉と野菜のオイスター炒め,264.0,258.0,11.9,13.5,22.3,2.6,39.0,172.0
豚すき煮,264.0,270.0,20.8,13.9,14.3,2.2,119.0,77.0
いわしの洋風南蛮,220.0,313.0,8.2,23.7,15.4,1.3,43.0,33.0
フライドチキン,176.0,231.0,6.2,14.2,18.1,0.9,6.0,0.0
シーサラダ,176.0,38.0,4.8,0.4,5.3,0.6,62.0,50.0
鯖塩焼き,176.0,293.0,17.2,23.1,0.4,1.2,10.0,0.0
スパイスチキンサラダ,110.0,53.0,5.3,0.7,7.1,0.2,20.0,60.0
牛肉コロッケ,110.0,241.0,3.0,16.6,19.2,0.5,8.0,1.0
鶏きも煮,88.0,67.0,8.9,1.7,4.4,0.6,6.0,0.0
オクラ巣ごもり玉子,88.0,91.0,6.7,5.5,3.6,0.6,56.0,33.0
ほうれん草ひじき和え,88.0,60.0,4.8,1.8,5.4,0.6,54.0,23.0
ねぎだくもやしナムル,88.0,36.0,1.7,1.9,5.3,0.7,32.0,60.0
花野菜のカレーマヨ和え,88.0,110.0,2.8,8.7,4.8,0.4,29.0,75.0
ほうれん草,66.0,19.0,1.9,0.6,2.5,0.0,44.0,63.0
だし巻き,66.0,98.0,6.3,5.6,4.2,0.7,28.0,0.0
ひじき煮,66.0,55.0,2.0,3.0,5.5,1.0,35.0,5.0
スライスオクラ,66.0,15.0,1.0,0.0,4.0,0.0,45.0,50.0
冷奴,44.0,47.0,4.1,2.5,1.9,0.1,48.0,1.0
温泉玉子,44.0,80.0,5.9,5.5,0.6,0.5,26.0,0.0
ミニサラダ,44.0,7.0,0.3,0.0,1.7,0.0,10.0,33.0
夏のさっぱり豚汁,110.0,87.0,6.1,4.7,5.4,1.8,37.0,65.0
味噌汁,33.0,53.0,2.9,3.1,3.5,1.3,35.0,0.0
冷やし温玉うどん,341.0,422.0,14.2,6.5,75.9,4.4,48.0,5.0
冷やし温玉そば,341.0,391.0,17.4,7.3,63.3,3.2,51.0,5.0
冷やしうどん,297.0,348.0,8.9,1.1,76.2,4.2,25.0,5.0
冷やしそば,297.0,317.0,12.1,1.9,63.6,3.0,28.0,5.0
きつねうどん,297.0,439.0,13.5,7.0,80.6,5.3,74.0,5.0
きつねそば,297.0,408.0,16.7,7.8,68.0,4.1,77.0,5.0
かけうどん,209.0,339.0,7.7,1.0,75.0,4.6,21.0,5.0
かけそば,209.0,308.0,10.9,1.8,62.4,3.4,24.0,5.0
冷やし担々麺,473.0,604.0,23.0,15.4,102.1,4.9,201.0,60.0
味噌ラーメン,385.0,515.0,20.1,10.5,86.0,6.1,78.0,45.0
温玉ねぎとろ丼,462.0,613.0,24.6,11.8,96.6,2.1,46.0,10.0
チキンカツ南蛮丼,407.0,902.0,24.5,35.2,115.3,2.9,25.0,30.0
チキンカツカレー,407.0,918.0,27.0,31.5,127.7,5.0,46.0,16.0
カレーライス,308.0,596.0,11.0,11.5,110.4,4.3,38.0,12.0
ライス,115.0,408.0,7.2,0.0,88.8,0.0,0.0,0.0
雑穀ご飯,165.0,437.0,8.2,1.5,93.4,0.0,12.0,0.0
イチゴヨーグルト,110.0,92.0,4.1,3.0,13.3,0.0,121.0,0.0
ベルギーワッフル,110.0,282.0,4.7,19.2,22.6,0.2,23.0,0.0
大学芋,88.0,156.0,0.6,3.1,31.9,0.0,13.0,0.0
牛乳,85.0,138.0,6.8,7.8,10.0,0.2,228.0,0.0
